KODE_PROV;Nama_Propinsi;Jml_Penduduk
11;Aceh;5554800
12;Sumatera Utara;15588500
13;Sumatera Barat;5836200
14;Riau;6728100
21;Kep. Riau;2183300
15;Jambi;3724300
16;Sumatera Selatan;8837300
19;Kep. Bangka Belitung;1531500
17;Bengkulu;2112200
18;Lampung;9419600
31;DKI Jakarta;10684900
32;Jawa Barat;50345200
36;Banten;12431400
33;Jawa Tengah;37892300
34;DI Yogyakarta;3759500
35;Jawa Timur;41814500
61;Kalimantan Barat;5695500
62;Kalimantan Tengah;2809700
63;Kalimantan Selatan;4273400
64;Kalimantan Timur;4045900
65;Kalimantan Utara;739800
71;Sulawesi Utara;2701800
75;Gorontalo;1227800
72;Sulawesi Tengah;3121800
73;Sulawesi Selatan;9463400
76;Sulawesi Barat;1503200
74;Sulawesi Tenggara;2793100
51;Bali;4433300
52;Nusa Tenggara Barat;5646000
53;Nusa Tenggara Timur;5656000
81;Maluku;1945600
82;Maluku Utara;1355600
92-A;Papua Barat;629100
92-B;Papua Barat Daya;576700
91-A;Papua;1817000
91-D;Papua Tengah;1211300
91-C;Papua Selatan;807500
91-B;Papua Pegunungan;706800
